"fishing_fleet","gear_type","time_start","time_end","geographic_identifier","fishing_mode","species","measurement_type","measurement_unit","measurement_value","source_authority","measurement","measurement_processing_level"
"JP","G",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",8,"WCPFC","catch","raised"
"VN","G",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",192,"WCPFC","catch","raised"
"ID","H",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",338,"WCPFC","catch","raised"
"PH","H",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",647,"WCPFC","catch","raised"
"US","H",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",29,"WCPFC","catch","raised"
"VN","H",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",93,"WCPFC","catch","raised"
"ID","K",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",42,"WCPFC","catch","raised"
"PH","K",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",89,"WCPFC","catch","raised"
"AU","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",546,"WCPFC","catch","raised"
"CK","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",104.47,"WCPFC","catch","raised"
"CN","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",24873,"WCPFC","catch","raised"
"ES","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",7,"WCPFC","catch","raised"
"FJ","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",8889.59,"WCPFC","catch","raised"
"FM","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1962.26,"WCPFC","catch","raised"
"ID","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",20,"WCPFC","catch","raised"
"JP","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",11872,"WCPFC","catch","raised"
"KI","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",6531.22,"WCPFC","catch","raised"
"MH","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",296.48,"WCPFC","catch","raised"
"NC","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",2021.64,"WCPFC","catch","raised"
"NZ","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",59,"WCPFC","catch","raised"
"PF","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1660,"WCPFC","catch","raised"
"PG","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1.69,"WCPFC","catch","raised"
"SB","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",2150.58,"WCPFC","catch","raised"
"TO","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",16.6,"WCPFC","catch","raised"
"TW","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",17084,"WCPFC","catch","raised"
"US","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1243,"WCPFC","catch","raised"
"WS","L",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",389.32,"WCPFC","catch","raised"
"ID","O",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1,"WCPFC","catch","raised"
"JP","O",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",265,"WCPFC","catch","raised"
"PF","O",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",137,"WCPFC","catch","raised"
"PH","O",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",95,"WCPFC","catch","raised"
"JP","P",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",14006,"WCPFC","catch","raised"
"PF","P",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1,"WCPFC","catch","raised"
"PH","R",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",2,"WCPFC","catch","raised"
"FM","S",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",0.08,"WCPFC","catch","raised"
"ID","S",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1,"WCPFC","catch","raised"
"JP","S",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",37,"WCPFC","catch","raised"
"MH","S",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",160,"WCPFC","catch","raised"
"PG","S",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1.35,"WCPFC","catch","raised"
"NZ","T",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",1321,"WCPFC","catch","raised"
"US","T",2024-01-01,2024-12-31,"WCPO","UNK","ALB","NC","t",166,"WCPFC","catch","raised"
"JP","L",1950-01-01,1950-12-31,"WCPO","UNK","BET","NC","t",17463,"WCPFC","catch","raised"
"US","L",1950-01-01,1950-12-31,"WCPO","UNK","BET","NC","t",781,"WCPFC","catch","raised"
"JP","P",1950-01-01,1950-12-31,"WCPO","UNK","BET","NC","t",646,"WCPFC","catch","raised"
"JP","L",1951-01-01,1951-12-31,"WCPO","UNK","BET","NC","t",11895,"WCPFC","catch","raised"
"US","L",1951-01-01,1951-12-31,"WCPO","UNK","BET","NC","t",913,"WCPFC","catch","raised"
"JP","P",1951-01-01,1951-12-31,"WCPO","UNK","BET","NC","t",729,"WCPFC","catch","raised"
"JP","S",1951-01-01,1951-12-31,"WCPO","UNK","BET","NC","t",1095,"WCPFC","catch","raised"
"JP","L",1952-01-01,1952-12-31,"WCPO","UNK","BET","NC","t",23342,"WCPFC","catch","raised"
"US","L",1952-01-01,1952-12-31,"WCPO","UNK","BET","NC","t",1013,"WCPFC","catch","raised"
"JP","P",1952-01-01,1952-12-31,"WCPO","UNK","BET","NC","t",2100,"WCPFC","catch","raised"
"JP","S",1952-01-01,1952-12-31,"WCPO","UNK","BET","NC","t",1039,"WCPFC","catch","raised"
"JP","L",1953-01-01,1953-12-31,"WCPO","UNK","BET","NC","t",21783,"WCPFC","catch","raised"
"US","L",1953-01-01,1953-12-31,"WCPO","UNK","BET","NC","t",1242,"WCPFC","catch","raised"
"JP","P",1953-01-01,1953-12-31,"WCPO","UNK","BET","NC","t",2400,"WCPFC","catch","raised"
"JP","S",1953-01-01,1953-12-31,"WCPO","UNK","BET","NC","t",619,"WCPFC","catch","raised"
"JP","L",1954-01-01,1954-12-31,"WCPO","UNK","BET","NC","t",14956,"WCPFC","catch","raised"
"US","L",1954-01-01,1954-12-31,"WCPO","UNK","BET","NC","t",1248,"WCPFC","catch","raised"
"JP","P",1954-01-01,1954-12-31,"WCPO","UNK","BET","NC","t",2100,"WCPFC","catch","raised"
"JP","S",1954-01-01,1954-12-31,"WCPO","UNK","BET","NC","t",360,"WCPFC","catch","raised"
"JP","L",1955-01-01,1955-12-31,"WCPO","UNK","BET","NC","t",23752,"WCPFC","catch","raised"
"US","L",1955-01-01,1955-12-31,"WCPO","UNK","BET","NC","t",997,"WCPFC","catch","raised"
"JP","P",1955-01-01,1955-12-31,"WCPO","UNK","BET","NC","t",4000,"WCPFC","catch","raised"
"JP","S",1955-01-01,1955-12-31,"WCPO","UNK","BET","NC","t",285,"WCPFC","catch","raised"
"JP","L",1956-01-01,1956-12-31,"WCPO","UNK","BET","NC","t",27296,"WCPFC","catch","raised"
"US","L",1956-01-01,1956-12-31,"WCPO","UNK","BET","NC","t",1046,"WCPFC","catch","raised"
"JP","P",1956-01-01,1956-12-31,"WCPO","UNK","BET","NC","t",4400,"WCPFC","catch","raised"
"JP","S",1956-01-01,1956-12-31,"WCPO","UNK","BET","NC","t",908,"WCPFC","catch","raised"
"JP","L",1957-01-01,1957-12-31,"WCPO","UNK","BET","NC","t",34725,"WCPFC","catch","raised"
"US","L",1957-01-01,1957-12-31,"WCPO","UNK","BET","NC","t",738,"WCPFC","catch","raised"
"JP","P",1957-01-01,1957-12-31,"WCPO","UNK","BET","NC","t",5200,"WCPFC","catch","raised"
"JP","S",1957-01-01,1957-12-31,"WCPO","UNK","BET","NC","t",49,"WCPFC","catch","raised"
"JP","L",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",43653,"WCPFC","catch","raised"
"KR","L",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",18,"WCPFC","catch","raised"
"TW","L",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",1604,"WCPFC","catch","raised"
"US","L",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",719,"WCPFC","catch","raised"
"JP","P",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",4200,"WCPFC","catch","raised"
"JP","S",1958-01-01,1958-12-31,"WCPO","UNK","BET","NC","t",48,"WCPFC","catch","raised"
"JP","L",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",39169,"WCPFC","catch","raised"
"KR","L",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",24,"WCPFC","catch","raised"
"TW","L",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",1278,"WCPFC","catch","raised"
"US","L",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",596,"WCPFC","catch","raised"
"JP","P",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",1700,"WCPFC","catch","raised"
"JP","S",1959-01-01,1959-12-31,"WCPO","UNK","BET","NC","t",36,"WCPFC","catch","raised"
"JP","L",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",41530,"WCPFC","catch","raised"
"KR","L",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",50,"WCPFC","catch","raised"
"TW","L",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",1320,"WCPFC","catch","raised"
"US","L",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",567,"WCPFC","catch","raised"
"JP","P",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",1500,"WCPFC","catch","raised"
"JP","S",1960-01-01,1960-12-31,"WCPO","UNK","BET","NC","t",58,"WCPFC","catch","raised"
"JP","L",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",35657,"WCPFC","catch","raised"
"KR","L",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",9,"WCPFC","catch","raised"
"TW","L",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",1382,"WCPFC","catch","raised"
"US","L",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",469,"WCPFC","catch","raised"
"JP","P",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",1800,"WCPFC","catch","raised"
"JP","S",1961-01-01,1961-12-31,"WCPO","UNK","BET","NC","t",63,"WCPFC","catch","raised"
"JP","L",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",33632,"WCPFC","catch","raised"
"KR","L",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",26,"WCPFC","catch","raised"
"TW","L",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",1689,"WCPFC","catch","raised"
"US","L",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",548,"WCPFC","catch","raised"
"JP","P",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",800,"WCPFC","catch","raised"
"JP","S",1962-01-01,1962-12-31,"WCPO","UNK","BET","NC","t",173,"WCPFC","catch","raised"
"JP","L",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",40061,"WCPFC","catch","raised"
"KR","L",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",242,"WCPFC","catch","raised"
"TW","L",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",1813,"WCPFC","catch","raised"
"US","L",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",424,"WCPFC","catch","raised"
"JP","P",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",1800,"WCPFC","catch","raised"
"JP","S",1963-01-01,1963-12-31,"WCPO","UNK","BET","NC","t",6,"WCPFC","catch","raised"
"JP","L",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",28525,"WCPFC","catch","raised"
"KR","L",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",359,"WCPFC","catch","raised"
"TW","L",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",1715,"WCPFC","catch","raised"
"US","L",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",379,"WCPFC","catch","raised"
"JP","O",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",28,"WCPFC","catch","raised"
"JP","P",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",1143,"WCPFC","catch","raised"
"JP","S",1964-01-01,1964-12-31,"WCPO","UNK","BET","NC","t",231,"WCPFC","catch","raised"
"JP","L",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",26293,"WCPFC","catch","raised"
"KR","L",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",1303,"WCPFC","catch","raised"
"TW","L",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",1903,"WCPFC","catch","raised"
"US","L",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",345,"WCPFC","catch","raised"
"JP","O",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",30,"WCPFC","catch","raised"
"JP","P",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",1254,"WCPFC","catch","raised"
"JP","S",1965-01-01,1965-12-31,"WCPO","UNK","BET","NC","t",201,"WCPFC","catch","raised"
"JP","L",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",27229,"WCPFC","catch","raised"
"KR","L",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",2268,"WCPFC","catch","raised"
"TW","L",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",2106,"WCPFC","catch","raised"
"US","L",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",346,"WCPFC","catch","raised"
"JP","O",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",86,"WCPFC","catch","raised"
"JP","P",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",1108,"WCPFC","catch","raised"
"JP","S",1966-01-01,1966-12-31,"WCPO","UNK","BET","NC","t",9,"WCPFC","catch","raised"
"JP","L",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",26316,"WCPFC","catch","raised"
"KR","L",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",2699,"WCPFC","catch","raised"
"TW","L",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",3483,"WCPFC","catch","raised"
"US","L",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",293,"WCPFC","catch","raised"
"JP","O",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",253,"WCPFC","catch","raised"
"JP","P",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",2803,"WCPFC","catch","raised"
"JP","S",1967-01-01,1967-12-31,"WCPO","UNK","BET","NC","t",62,"WCPFC","catch","raised"
"JP","L",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",20610,"WCPFC","catch","raised"
"KR","L",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",1272,"WCPFC","catch","raised"
"TW","L",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",5061,"WCPFC","catch","raised"
"US","L",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",256,"WCPFC","catch","raised"
"JP","O",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",204,"WCPFC","catch","raised"
"JP","P",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",2272,"WCPFC","catch","raised"
"JP","S",1968-01-01,1968-12-31,"WCPO","UNK","BET","NC","t",194,"WCPFC","catch","raised"
"JP","L",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",25761,"WCPFC","catch","raised"
"KR","L",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",1838,"WCPFC","catch","raised"
"TW","L",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",4453,"WCPFC","catch","raised"
"US","L",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",319,"WCPFC","catch","raised"
"JP","O",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",62,"WCPFC","catch","raised"
"JP","P",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",3350,"WCPFC","catch","raised"
"JP","S",1969-01-01,1969-12-31,"WCPO","UNK","BET","NC","t",49,"WCPFC","catch","raised"
"PH","H",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",119,"WCPFC","catch","raised"
"PH","K",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",1685,"WCPFC","catch","raised"
"JP","L",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",29524,"WCPFC","catch","raised"
"KR","L",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",1322,"WCPFC","catch","raised"
"PH","L",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",51,"WCPFC","catch","raised"
"TW","L",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",3236,"WCPFC","catch","raised"
"US","L",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",215,"WCPFC","catch","raised"
"ID","O",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",550,"WCPFC","catch","raised"
"JP","O",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",46,"WCPFC","catch","raised"
"PH","O",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",400,"WCPFC","catch","raised"
"TW","O",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",2,"WCPFC","catch","raised"
"JP","P",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",3178,"WCPFC","catch","raised"
"PH","R",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",166,"WCPFC","catch","raised"
"JP","S",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",96,"WCPFC","catch","raised"
"PH","S",1970-01-01,1970-12-31,"WCPO","UNK","BET","NC","t",495,"WCPFC","catch","raised"
"PH","H",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",133,"WCPFC","catch","raised"
"PH","K",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",1885,"WCPFC","catch","raised"
"JP","L",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",31719,"WCPFC","catch","raised"
"KR","L",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",940,"WCPFC","catch","raised"
"PH","L",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",57,"WCPFC","catch","raised"
"TW","L",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",3869,"WCPFC","catch","raised"
"US","L",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",213,"WCPFC","catch","raised"
"ID","O",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",570,"WCPFC","catch","raised"
"JP","O",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",21,"WCPFC","catch","raised"
"PH","O",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",448,"WCPFC","catch","raised"
"JP","P",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",1862,"WCPFC","catch","raised"
"PH","R",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",186,"WCPFC","catch","raised"
"JP","S",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",158,"WCPFC","catch","raised"
"PH","S",1971-01-01,1971-12-31,"WCPO","UNK","BET","NC","t",520,"WCPFC","catch","raised"
"PH","H",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",138,"WCPFC","catch","raised"
"PH","K",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",1959,"WCPFC","catch","raised"
"JP","L",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",41635,"WCPFC","catch","raised"
"KR","L",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",1138,"WCPFC","catch","raised"
"PH","L",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",59,"WCPFC","catch","raised"
"TW","L",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",6276,"WCPFC","catch","raised"
"US","L",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",226,"WCPFC","catch","raised"
"ID","O",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",900,"WCPFC","catch","raised"
"JP","O",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",19,"WCPFC","catch","raised"
"PH","O",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",466,"WCPFC","catch","raised"
"TW","O",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",15,"WCPFC","catch","raised"
"JP","P",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",1762,"WCPFC","catch","raised"
"PH","R",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",193,"WCPFC","catch","raised"
"JP","S",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",111,"WCPFC","catch","raised"
"PH","S",1972-01-01,1972-12-31,"WCPO","UNK","BET","NC","t",560,"WCPFC","catch","raised"
"JP","G",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",6,"WCPFC","catch","raised"
"PH","H",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",165,"WCPFC","catch","raised"
"PH","K",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",2344,"WCPFC","catch","raised"
"JP","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",31225,"WCPFC","catch","raised"
"KR","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",2523,"WCPFC","catch","raised"
"PH","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",70,"WCPFC","catch","raised"
"SB","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",16,"WCPFC","catch","raised"
"TW","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",6270,"WCPFC","catch","raised"
"US","L",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",181,"WCPFC","catch","raised"
"ID","O",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",1020,"WCPFC","catch","raised"
"JP","O",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",52,"WCPFC","catch","raised"
"PH","O",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",557,"WCPFC","catch","raised"
"TW","O",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",74,"WCPFC","catch","raised"
"JP","P",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",1258,"WCPFC","catch","raised"
"PH","R",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",231,"WCPFC","catch","raised"
"JP","S",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",116,"WCPFC","catch","raised"
"PH","S",1973-01-01,1973-12-31,"WCPO","UNK","BET","NC","t",654,"WCPFC","catch","raised"
"JP","G",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",32,"WCPFC","catch","raised"
"PH","H",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",191,"WCPFC","catch","raised"
"PH","K",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",2726,"WCPFC","catch","raised"
"JP","L",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",34883,"WCPFC","catch","raised"
"KR","L",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",2137,"WCPFC","catch","raised"
"PH","L",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",82,"WCPFC","catch","raised"
"TW","L",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",4500,"WCPFC","catch","raised"
"US","L",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",185,"WCPFC","catch","raised"
"ID","O",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",1017,"WCPFC","catch","raised"
"JP","O",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",67,"WCPFC","catch","raised"
"PH","O",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",647,"WCPFC","catch","raised"
"TW","O",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",39,"WCPFC","catch","raised"
"JP","P",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",1039,"WCPFC","catch","raised"
"PH","R",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",268,"WCPFC","catch","raised"
"JP","S",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",320,"WCPFC","catch","raised"
"PH","S",1974-01-01,1974-12-31,"WCPO","UNK","BET","NC","t",759,"WCPFC","catch","raised"
"JP","G",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",123,"WCPFC","catch","raised"
"PH","H",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",195,"WCPFC","catch","raised"
"PH","K",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",2781,"WCPFC","catch","raised"
"JP","L",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",36391,"WCPFC","catch","raised"
"KR","L",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",13543,"WCPFC","catch","raised"
"PH","L",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",83,"WCPFC","catch","raised"
"TW","L",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",7456,"WCPFC","catch","raised"
"US","L",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",150,"WCPFC","catch","raised"
"ID","O",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",1106,"WCPFC","catch","raised"
"JP","O",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",72,"WCPFC","catch","raised"
"PH","O",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",660,"WCPFC","catch","raised"
"TW","O",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",1,"WCPFC","catch","raised"
"JP","P",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",1334,"WCPFC","catch","raised"
"PH","R",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",274,"WCPFC","catch","raised"
"JP","S",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",514,"WCPFC","catch","raised"
"PH","S",1975-01-01,1975-12-31,"WCPO","UNK","BET","NC","t",766,"WCPFC","catch","raised"
"JP","G",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",160,"WCPFC","catch","raised"
"PH","H",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",165,"WCPFC","catch","raised"
"PH","K",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",2343,"WCPFC","catch","raised"
"JP","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",43522,"WCPFC","catch","raised"
"KR","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",20176,"WCPFC","catch","raised"
"PH","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",70,"WCPFC","catch","raised"
"SB","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",25,"WCPFC","catch","raised"
"TW","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",4527,"WCPFC","catch","raised"
"US","L",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",194,"WCPFC","catch","raised"
"ID","O",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",753,"WCPFC","catch","raised"
"JP","O",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",81,"WCPFC","catch","raised"
"PH","O",1976-01-01,1976-12-31,"WCPO","UNK","BET","NC","t",557,"WCPFC","catch","raised"
